TrigReport ---------- Event  Summary ------------
TrigReport Events total = 243 passed = 192 failed = 51

TrigReport ---------- Path   Summary ------------
TrigReport  Trig Bit#        Run     Passed     Failed      Error Name
TrigReport        486        243        243          0          0 combinedSecondaryVertexMVABJetTagsAK5Calo
TrigReport        486        243        243          0          0 softMuonBJetTagsAK5Calo
TrigReport        486        243        243          0          0 softMuonByPtBJetTagsAK5Calo
TrigReport        486        243        243          0          0 softMuonByIP3dBJetTagsAK5Calo
TrigReport        486        243        243          0          0 jetTracksAssociatorAtVertexAK5PF
TrigReport        486        243        243          0          0 impactParameterTagInfosAK5PF
TrigReport        486        243        243          0          0 secondaryVertexTagInfosAK5PF
TrigReport        486        243        243          0          0 softMuonTagInfosAK5PF
TrigReport        486        243        243          0          0 jetBProbabilityBJetTagsAK5PF
TrigReport        486        243        243          0          0 jetProbabilityBJetTagsAK5PF
TrigReport        486        243        243          0          0 trackCountingHighPurBJetTagsAK5PF
TrigReport        486        243        243          0          0 trackCountingHighEffBJetTagsAK5PF
TrigReport        486        243        243          0          0 simpleSecondaryVertexHighEffBJetTagsAK5PF
TrigReport        486        243        243          0          0 simpleSecondaryVertexHighPurBJetTagsAK5PF
TrigReport        486        243        243          0          0 combinedSecondaryVertexBJetTagsAK5PF
TrigReport        486        243        243          0          0 combinedSecondaryVertexMVABJetTagsAK5PF
TrigReport        486        243        243          0          0 softMuonBJetTagsAK5PF
TrigReport        486        243        243          0          0 softMuonByPtBJetTagsAK5PF
TrigReport        486        243        243          0          0 softMuonByIP3dBJetTagsAK5PF
TrigReport        486        243        243          0          0 patJetCharge
TrigReport        486        243        243          0          0 patJetChargeAK5PF
TrigReport        486        243        243          0          0 patJetChargeAK5Calo
TrigReport        486        243        243          0          0 patJets
TrigReport        486        243        243          0          0 patJetsAK5PF
TrigReport        486        243        243          0          0 patJetsAK5Calo
TrigReport        486        243        243          0          0 metJESCorAK5CaloJetTypeII
TrigReport        486        243        243          0          0 metJESCorAK5CaloJetMuonsTypeII
TrigReport        486        243        243          0          0 metJESCorAK5CaloJet
TrigReport        486        243        243          0          0 metJESCorAK5CaloJetMuons
TrigReport        972        243        243          0          0 patMETsAK5Calo
TrigReport        972        243        243          0          0 patMETsAK5CaloTypeII
TrigReport        486        243        243          0          0 patMETsTC
TrigReport        486        243        243          0          0 patCandidateSummary
TrigReport        486        243        243          0          0 patTrigger
TrigReport        486        243        243          0          0 metJESCorPFAK5
TrigReport        486        243        243          0          0 patMETsPF
TrigReport        486        243        243          0          0 pfAllNeutralHadronsPF
TrigReport        486        243        243          0          0 pfAllChargedHadronsPF
TrigReport        486        243        243          0          0 pfAllPhotonsPF
TrigReport        486        243        243          0          0 pfAllMuonsPF
TrigReport        486        243        243          0          0 isoDepMuonWithChargedPF
TrigReport        486        243        243          0          0 isoDepMuonWithNeutralPF
TrigReport        486        243        243          0          0 isoDepMuonWithPhotonsPF
TrigReport        486        243        243          0          0 isoValMuonWithChargedPF
TrigReport        486        243        243          0          0 isoValMuonWithNeutralPF
TrigReport        486        243        243          0          0 isoValMuonWithPhotonsPF
TrigReport        486        243        243          0          0 patMuonsPF
TrigReport        486        243        243          0          0 pfAllElectronsPF
TrigReport        486        243        243          0          0 isoDepElectronWithChargedPF
TrigReport        486        243        243          0          0 isoDepElectronWithNeutralPF
TrigReport        486        243        243          0          0 isoDepElectronWithPhotonsPF
TrigReport        486        243        243          0          0 isoValElectronWithChargedPF
TrigReport        486        243        243          0          0 isoValElectronWithNeutralPF
TrigReport        486        243        243          0          0 isoValElectronWithPhotonsPF
